Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.036389,-1.95E-05,0.0235966,0,0,0,1.4140796,0.0052145,3.8E-06,0.0003997,0.0041695,6E-07,0.007904,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/base_link.STL,,body-1,base_link_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_yaw_link,-0.0578492,0,-0.0416749,0,0,0,0.3887654,0.0002521,0,-0.0001456,0.0004324,0,0.0003133,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_hip_yaw_link.STL,,right1-1,r_hip_yaw_co,r_hip_yaw_ax,r_hip_yaw_joint,revolute,0,-0.075,0,0,0,0,base_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
r_hip_roll_link,0.0373373,0.0004272,0.0004287,0,0,0,0.7495221,0.0013819,-3E-06,5.4E-06,0.0003384,6E-07,0.0014434,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_hip_roll_link.STL,,right2-1,r_hip_roll_co,r_hip_roll_ax,r_hip_roll_joint,revolute,-0.04,0,-0.05,0,0,0,r_hip_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_thigh_link,0.004364,-0.0013366,-0.0465535,0,0,0,0.1443603,0.0004365,-8E-07,3.66E-05,0.0004422,9E-06,4.91E-05,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_thigh_link.STL,,right3-1,r_thigh_co,r_thigh_ax,r_thigh_joint,revolute,0.04,0,0,0,0,0,r_hip_roll_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_calf_link,0.0035389,0,-0.0714471,0,0,0,0.768122,0.0010371,0,-9.4E-06,0.0010674,-3.3E-06,0.0002151,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_calf_link.STL,,right4-2,r_calf_co,r_calf_ax,r_calf_joint,revolute,0.014,0,-0.14935,0,0,0,r_thigh_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_pitch_link,0,0,0,0,0,0,0.0088647,2E-07,0,0,1E-06,0,1E-06,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_ankle_pitch_link.STL,,right5-1,r_ankle_pitch_co,r_ankle_pitch_ax,r_ankle_pitch_joint,revolute,0.0025,0,-0.15845,0,0,0,r_calf_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_roll_link,0.0240775,0,-0.018709,0,0,0,0.1728932,7.78E-05,0,2.11E-05,0.0003287,0,0.0003779,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/r_ankle_roll_link.STL,,right6-1,r_ankle_roll_co,r_ankle_roll_ax,r_ankle_roll_joint,revolute,0,0,0,0,0,0,r_ankle_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_hip_yaw_link,-0.0578492,0,-0.0416749,0,0,0,0.19436,0.0002521,0,-0.0001456,0.0004324,0,0.0003133,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_hip_yaw_link.STL,,left1-1,l_hip_yaw_co,l_hip_yaw_ax,l_hip_yaw_joint,revolute,0,0.075,0,0,0,0,base_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
l_hip_roll_link,0.0373373,-0.0004323,0.0004287,0,0,0,0.74952,0.0013819,-1.6E-06,5.4E-06,0.0003384,2E-07,0.0014434,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_hip_roll_link.STL,,left2-1,l_hip_roll_co,l_hip_roll_ax,l_hip_roll_joint,revolute,-0.04,0,-0.05,0,0,0,l_hip_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_thigh_link,0.004364,0.0013366,-0.046554,0,0,0,0.1443603,0.0004365,8E-07,3.66E-05,0.0004422,-9E-06,4.91E-05,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_thigh_link.STL,,left3-1,l_thigh_co,l_thigh_ax,l_thigh_joint,revolute,0.04,0,0,0,0,0,l_hip_roll_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_calf_link,0.0035389,0,-0.07142,0,0,0,0.768122,0.0010371,0,-9.4E-06,0.0010674,-3.3E-06,0.0002151,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_calf_link.STL,,left4-1,l_calf_co,l_calf_ax,l_calf_joint,revolute,0.014,0,-0.14935,0,0,0,l_thigh_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_pitch_link,0,0,0,0,0,0,0.0088647,2E-07,0,0,1E-06,0,1E-06,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_ankle_pitch_link.STL,,left5-1,l_ankle_pitch_co,l_ankle_pitch_ax,l_ankle_pitch_joint,revolute,0.0025,0,-0.15845,0,0,0,l_calf_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_roll_link,0.0240775,0,-0.018709,0,0,0,0.1728932,7.78E-05,0,2.11E-05,0.0003287,0,0.0003779,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_12dof_v2_0312/meshes/l_ankle_roll_link.STL,,left6-1,l_ankle_roll_co,l_ankle_roll_ax,l_ankle_roll_joint,revolute,0,0,0,0,0,0,l_ankle_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
